uID,variable1,variable2,factor
1992,0.5,2,SameKiss
1993,0.4,2,SameKiss
1994,0.4,3,SameKiss
1999,0.5,3,SameKiss
2003,0.5,2,SameKiss
2005,0.1,2,SameKiss
2006,0.4,7,SameKiss
2008,0.1,3,SameKiss
2009,0.3,1,SameKiss
2010,0,2,SameKiss
2012,0.3,1,SameKiss
2014,0.2,3,SameKiss
2016,0.1,2,SameKiss
2018,0.7,2,SameKiss
2019,0.8,3,SameKiss
2020,0.2,3,SameKiss
2022,0.5,4,SameKiss
2025,0.5,2,SameKiss
2028,0.1,7,SameKiss
2031,0.6,3,SameKiss
2033,0.3,5,SameKiss
2037,0.5,2,SameKiss
2039,0,1,SameKiss
2040,0.7,5,SameKiss
2041,0.5,4,SameKiss
2042,1,7,SameKiss
2044,0.3,7,SameKiss
2047,0.5,3,SameKiss
2048,0.4,5,SameKiss
2050,0.1,1,SameKiss
2051,0.2,5,SameKiss
2052,0.6,4,SameKiss
2053,0.4,4,SameKiss
2054,0.5,1,SameKiss
2055,0.7,2,SameKiss
2060,0.2,4,SameKiss
2061,0.5,5,SameKiss
2062,0.1,3,SameKiss
2063,0.2,7,SameKiss
2066,0.7,3,SameKiss
2067,0.2,5,SameKiss
2068,0.7,5,SameKiss
2075,0.4,7,SameKiss
2077,0,2,SameKiss
2078,0.5,4,SameKiss
2079,0,4,SameKiss
2080,0.2,2,SameKiss
2082,0,1,SameKiss
2083,0.7,5,SameKiss
2084,0,1,SameKiss
2087,0.3,1,SameKiss
2090,0,5,SameKiss
2092,0.3,3,SameKiss
2093,0.1,2,SameKiss
2094,0.5,2,SameKiss
2099,0.3,5,SameKiss
2101,0.3,6,SameKiss
2102,0.4,2,SameKiss
2103,0.2,4,SameKiss
2104,0.3,2,SameKiss
2105,0.4,2,SameKiss
2106,0.3,3,SameKiss
2109,0.2,4,SameKiss
2111,0.4,4,SameKiss
2112,0.4,3,SameKiss
2115,0.6,5,SameKiss
2117,0.6,5,SameKiss
2118,0.7,2,SameKiss
2120,0.3,6,SameKiss
2121,0.5,2,SameKiss
2124,0.1,2,SameKiss
2125,0.3,5,SameKiss
2126,0.2,2,SameKiss
2127,0.2,4,SameKiss
2128,0.1,3,SameKiss
2129,0.5,2,SameKiss
2132,0.3,1,SameKiss
2135,0.1,5,SameKiss
2136,0.3,3,SameKiss
2137,0.8,2,SameKiss
2138,0.9,6,SameKiss
2141,0.5,4,SameKiss
2142,0.7,5,SameKiss
2143,0.5,2,SameKiss
2145,0.3,1,SameKiss
2146,0.1,2,SameKiss
2147,0.4,6,SameKiss
2148,0.1,2,SameKiss
2149,0.1,1,SameKiss
2151,0.3,2,SameKiss
2152,0.1,1,SameKiss
2153,0.3,3,SameKiss
2154,0.3,3,SameKiss
2159,0.3,5,SameKiss
2160,0.4,6,SameKiss
2162,0.2,1,SameKiss
2165,0.1,7,SameKiss
2166,0.2,2,SameKiss
2167,0.5,3,SameKiss
2168,0.9,6,SameKiss
2171,0.2,1,SameKiss
2172,0,3,SameKiss
2173,0.3,1,SameKiss
2178,0.1,4,SameKiss
2182,0.4,4,SameKiss
2183,0,2,SameKiss
2189,0.3,3,SameKiss
2192,0.4,7,SameKiss
2195,0.3,6,SameKiss
2200,0.8,7,SameKiss
2201,0.6,2,SameKiss
2203,0.6,5,SameKiss
2204,0.3,6,SameKiss
2206,0.3,1,SameKiss
2207,0.5,2,SameKiss
2208,0.7,1,SameKiss
2211,0.4,5,SameKiss
2213,0.2,4,SameKiss
2214,0.2,5,SameKiss
2216,0.4,1,SameKiss
2218,0.2,2,SameKiss
2224,0.7,6,SameKiss
2225,0.9,4,SameKiss
2226,0,1,SameKiss
2227,0.5,1,SameKiss
2228,0.3,1,SameKiss
2230,0.1,7,SameKiss
2231,0.3,5,SameKiss
2234,0.2,2,SameKiss
2237,0.5,7,SameKiss
2240,0.1,1,SameKiss
2241,0.4,5,SameKiss
2246,0.5,4,SameKiss
2249,0.3,4,SameKiss
2250,0.3,1,SameKiss
2252,0.4,1,SameKiss
2254,0.2,1,SameKiss
2257,0.2,2,SameKiss
2259,0.8,6,SameKiss
2263,0.5,5,SameKiss
2264,0.4,6,SameKiss
2266,0.4,2,SameKiss
2269,0.2,2,SameKiss
2270,0.4,3,SameKiss
2271,0.8,1,SameKiss
2274,0.1,4,SameKiss
2276,0.4,4,SameKiss
2277,0.5,4,SameKiss
2279,0.3,1,SameKiss
2283,0.5,2,SameKiss
2284,0.7,1,SameKiss
2291,0.1,1,SameKiss
2292,0.2,1,SameKiss
2294,0.7,2,SameKiss
2296,0.4,3,SameKiss
2298,0.2,1,SameKiss
2300,0.3,2,SameKiss
2301,0.3,2,SameKiss
2303,0.6,4,SameKiss
2305,0.4,3,SameKiss
2306,0.3,5,SameKiss
2307,0.5,4,SameKiss
2308,0.9,2,SameKiss
2309,0.1,5,SameKiss
2310,0.2,5,SameKiss
2311,0.2,5,SameKiss
2319,0.5,2,SameKiss
2322,0,1,SameKiss
2324,0.3,1,SameKiss
2326,0.4,4,SameKiss
2327,0.5,3,SameKiss
2328,0.4,3,SameKiss
2330,0.3,3,SameKiss
2332,0.3,1,SameKiss
2333,0,4,SameKiss
2334,0.2,4,SameKiss
2336,0.5,6,SameKiss
2337,0,2,SameKiss
2342,0,2,SameKiss
2343,0.7,7,SameKiss
2345,0.4,5,SameKiss
2349,0.6,7,SameKiss
2354,0.4,1,SameKiss
2355,0.2,1,SameKiss
2359,0.6,4,SameKiss
2360,0,3,SameKiss
2361,0.3,3,SameKiss
2364,0.9,4,SameKiss
2365,0.1,7,SameKiss
2369,0.1,4,SameKiss
2371,0.5,5,SameKiss
2372,0.4,4,SameKiss
2373,0.2,1,SameKiss
2374,0.5,6,SameKiss
2375,0.2,2,SameKiss
2378,0.5,1,SameKiss
2379,0.2,5,SameKiss
2382,0.3,3,SameKiss
2390,0.2,4,SameKiss
2395,0,3,SameKiss
2397,0.8,1,SameKiss
2399,0.1,7,SameKiss
2400,0.6,6,SameKiss
2403,0.1,1,SameKiss
2405,0.6,5,SameKiss
2406,0.5,1,SameKiss
2407,0.4,2,SameKiss
2411,0.2,5,SameKiss
2413,0.8,4,SameKiss
2415,0.8,4,SameKiss
2416,0.3,1,SameKiss
2417,0.3,4,SameKiss
2418,0.6,5,SameKiss
2779,0.8,2,SameKiss
2780,0.5,4,SameKiss
2783,0,2,SameKiss
2784,0.3,4,SameKiss
2785,0.1,2,SameKiss
2787,0.3,4,SameKiss
2790,0.3,1,SameKiss
2793,0.3,6,SameKiss
2795,0.2,2,SameKiss
2797,0.2,2,SameKiss
2799,0,1,SameKiss
2802,0.1,3,SameKiss
2804,0.3,1,SameKiss
2805,0.1,1,SameKiss
2806,0.2,4,SameKiss
2808,0.3,2,SameKiss
2809,0.2,2,SameKiss
2810,0.2,3,SameKiss
2812,0,4,SameKiss
2813,1,2,SameKiss
2814,0.2,1,SameKiss
2820,0.2,4,SameKiss
2821,0,1,SameKiss
2822,0.3,3,SameKiss
2823,0.3,3,SameKiss
2825,0.2,2,SameKiss
2829,0.5,2,SameKiss
2831,0.6,7,SameKiss
2834,0.2,3,SameKiss
2836,0.3,4,SameKiss
2837,0.3,1,SameKiss
2838,0.2,2,SameKiss
2842,0.1,1,SameKiss
2843,0.7,2,SameKiss
2844,0.3,2,SameKiss
2845,0.4,3,SameKiss
2848,0.6,4,SameKiss
2849,0,3,SameKiss
2850,0.2,3,SameKiss
2856,0.5,3,SameKiss
2857,0.3,4,SameKiss
2858,0,2,SameKiss
2859,0.5,5,SameKiss
2860,0.3,3,SameKiss
2861,0.2,1,SameKiss
2863,0.7,5,SameKiss
2864,0.3,5,SameKiss
2865,0.5,1,SameKiss
2866,0.3,5,SameKiss
2870,0.4,1,SameKiss
2876,0.3,1,SameKiss
