uID,CounterBalance,Prominent2nd,Prominent1st,Asymmetry
1556,CBA,13.6,12.8181818181818,0.781818181818181
1560,CBB,6.90909090909091,7,-0.0909090909090908
1565,CBA,6.5,5.54545454545455,0.954545454545454
1566,CBB,11.6363636363636,11.5,0.136363636363637
1567,CBB,8.81818181818182,7.3,1.51818181818182
1568,CBB,14.6363636363636,15,-0.363636363636363
1571,CBA,13.2,11,2.2
1572,CBB,8.72727272727273,12.5,-3.77272727272727
1574,CBB,12.6363636363636,13.9,-1.26363636363636
1575,CBA,14,11.8181818181818,2.18181818181818
1576,CBA,3.9,4.81818181818182,-0.918181818181818
1579,CBB,12,12.2,-0.199999999999999
1580,CBB,10.6363636363636,9.9,0.736363636363636
1581,CBA,9.5,5.09090909090909,4.40909090909091
1582,CBA,13.1,13.7272727272727,-0.627272727272727
1583,CBB,6.27272727272727,8.8,-2.52727272727273
1584,CBA,4.2,1.09090909090909,3.10909090909091
1585,CBB,9.90909090909091,11.9,-1.99090909090909
1587,CBA,13,10.8181818181818,2.18181818181818
1588,CBA,5.8,5.81818181818182,-0.0181818181818185
1590,CBA,12.4,9.90909090909091,2.49090909090909
1592,CBB,11.0909090909091,11.1,-0.00909090909090793
1594,CBA,11,11,0
1596,CBB,7.81818181818182,10.3,-2.48181818181818
1599,CBA,14,12.7272727272727,1.27272727272727
1616,CBA,15.8,13.9090909090909,1.89090909090909
1618,CBB,10.2727272727273,11.4,-1.12727272727273
1621,CBB,9,10.6,-1.6
1622,CBB,10.0909090909091,11.8,-1.70909090909091
1623,CBA,8.1,7.90909090909091,0.19090909090909
