"","Participant_ID","referrer","ClipboardWeight","IIResponse","CBReject","age","year","Genderfactor","ethnicity","AttentionCheck"
"790","50","MichiganStateUniversity","Heavy Clipboard",5,"Include","20","Junior","Female","White, non-Hispanic or latino","Fail"
"793","52","MichiganStateUniversity","Heavy Clipboard",9,"Include","19","Sophomore","Female","African-American","Pass"
"794","53","MichiganStateUniversity","Light Clipboard",6,"Include",NA,NA,NA,NA,NA
"795","54","MichiganStateUniversity","Heavy Clipboard",6,"Include","19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"796","55","MichiganStateUniversity","Light Clipboard",9,"Include","19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"797","56","MichiganStateUniversity","Heavy Clipboard",6,"Include","19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"798","57","MichiganStateUniversity","Light Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"799","58","MichiganStateUniversity","Heavy Clipboard",6,"Include","22 years","Senior","Female","White, non-Hispanic or latino","Fail"
"801","6","MichiganStateUniversity","Heavy Clipboard",6,"Include",NA,NA,NA,NA,NA
"804","62","MichiganStateUniversity","Heavy Clipboard",5,"Include","21","Junior","Female","Other","Pass"
"805","63","MichiganStateUniversity","Light Clipboard",9,"Include",NA,NA,NA,NA,NA
"806","64","MichiganStateUniversity","Heavy Clipboard",7,"Include","19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"807","65","MichiganStateUniversity","Light Clipboard",5,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"808","66","MichiganStateUniversity","Heavy Clipboard",7,"Include","21","Senior","Female","White, non-Hispanic or latino","Pass"
"809","67","MichiganStateUniversity","Light Clipboard",5,"Include","18","First-year","Female","White, non-Hispanic or latino","Fail"
"810","68","MichiganStateUniversity","Heavy Clipboard",6,"Include","19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"811","69","MichiganStateUniversity","Light Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Fail"
"812","7","MichiganStateUniversity","Light Clipboard",9,"Include",NA,NA,NA,NA,NA
