"","Participant_ID","referrer","ClipboardWeight","IIResponse","CBReject","age","year","Genderfactor","ethnicity","AttentionCheck"
"961","60","MontanaStateUniversity","Heavy Clipboard",5,"Include","28","First-year","Female","White, non-Hispanic or latino","Pass"
"962","61","MontanaStateUniversity","Light Clipboard",6,"Include",NA,"First-year","Male","White, non-Hispanic or latino","Pass"
"963","62","MontanaStateUniversity","Heavy Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"964","63","MontanaStateUniversity","Light Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"967","66","MontanaStateUniversity","Heavy Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"968","67","MontanaStateUniversity","Light Clipboard",7,"Include","30","Junior","Female","White, non-Hispanic or latino","Fail"
"969","68","MontanaStateUniversity","Heavy Clipboard",7,"Include","19","Other","Female","White, non-Hispanic or latino","Pass"
"970","69","MontanaStateUniversity","Light Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"971","7","MontanaStateUniversity","Light Clipboard",6,"Include","19","First-year","Female","White, non-Hispanic or latino","Pass"
"972","71","MontanaStateUniversity","Light Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Fail"
"973","72","MontanaStateUniversity","Heavy Clipboard",6,"Include",NA,NA,NA,NA,NA
"974","73","MontanaStateUniversity","Light Clipboard",7,"Include",NA,NA,NA,NA,NA
"975","74","MontanaStateUniversity","Heavy Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"976","75","MontanaStateUniversity","Light Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"977","76","MontanaStateUniversity","Heavy Clipboard",6,"Include","21","Junior","Male","White, non-Hispanic or latino","Pass"
"978","77","MontanaStateUniversity","Light Clipboard",6,"Include","19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"979","78","MontanaStateUniversity","Heavy Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"980","79","MontanaStateUniversity","Light Clipboard",6,"Include","22","Senior","Male","White, non-Hispanic or latino","Pass"
"981","8","MontanaStateUniversity","Heavy Clipboard",6,"Include","19","Sophomore","Male","White, non-Hispanic or latino","Fail"
