uID,variable1,variable2,factor
1898,0.1,2,DiffKiss
2241,0.4,2,SameKiss
2246,0.5,2,SameKiss
2252,0.4,2,SameKiss
2263,0.5,2,SameKiss
2269,0.2,2,SameKiss
2271,0.8,2,SameKiss
2277,0.6,1,SameKiss
2292,0.2,2,SameKiss
2296,0.4,2,SameKiss
2300,0.3,1,SameKiss
2303,0.6,2,SameKiss
2306,0.3,2,SameKiss
2307,0.5,1,SameKiss
2310,0.2,1,SameKiss
2311,0.2,1,SameKiss
2319,0.6,2,SameKiss
2322,0,2,SameKiss
2324,0.3,2,SameKiss
2327,0.6,2,SameKiss
2330,0.4,2,SameKiss
2333,0,2,SameKiss
2334,0.3,1,SameKiss
2337,0,2,SameKiss
2343,0.7,1,SameKiss
2349,0.7,2,SameKiss
2354,0.4,2,SameKiss
2361,0.3,2,SameKiss
2364,1,2,SameKiss
2369,0.1,2,SameKiss
2372,0.4,2,SameKiss
2374,0.5,2,SameKiss
2379,0.2,2,SameKiss
2382,0.3,2,SameKiss
2390,0.2,2,SameKiss
2397,0.9,2,SameKiss
2400,0.7,1,SameKiss
2405,0.6,2,SameKiss
2407,0.4,2,SameKiss
2413,0.9,1,SameKiss
2417,0.3,2,SameKiss
2418,0.7,2,SameKiss
2236,0.8,2,DiffKiss
2239,0.6,2,DiffKiss
2243,0.6,2,DiffKiss
2245,0.4,1,DiffKiss
2248,0.6,2,DiffKiss
2251,0.2,2,DiffKiss
2255,0.2,2,DiffKiss
2256,0.1,2,DiffKiss
2258,0.8,2,DiffKiss
2260,0.8,1,DiffKiss
2261,0.4,1,DiffKiss
2265,0.3,2,DiffKiss
2267,0.2,2,DiffKiss
2272,0.7,1,DiffKiss
2273,0.4,2,DiffKiss
2275,0.4,2,DiffKiss
2280,0.7,2,DiffKiss
2281,0.4,1,DiffKiss
2282,0.8,2,DiffKiss
2285,0.6,2,DiffKiss
2286,0.5,2,DiffKiss
2289,0.3,2,DiffKiss
2290,0.2,1,DiffKiss
2295,0.4,2,DiffKiss
2299,0.6,2,DiffKiss
2302,0.4,2,DiffKiss
2314,0.2,2,DiffKiss
2315,0.5,2,DiffKiss
2320,0.2,2,DiffKiss
2325,0.5,2,DiffKiss
2329,0.3,1,DiffKiss
2338,0.2,2,DiffKiss
2341,0.3,2,DiffKiss
2344,0.3,2,DiffKiss
2346,0.7,2,DiffKiss
2348,0.4,2,DiffKiss
2352,0.4,2,DiffKiss
2356,0.3,2,DiffKiss
2358,0.8,2,DiffKiss
