"","Participant_ID","referrer","TempCond","tempestclean","age","year","Genderfactor","ethnicity","AttentionCheck"
"753","304","MichiganStateUniversity","Communal",78,"19","Sophomore","Male","White, non-Hispanic or latino","Fail"
"756","307","MichiganStateUniversity","Communal",70,"21","Junior","Male","White, non-Hispanic or latino","Fail"
"758","309","MichiganStateUniversity","Communal",68,"19",NA,"Female","White, non-Hispanic or latino","Fail"
"759","31","MichiganStateUniversity","Communal",70,"21","Senior","Female","White, non-Hispanic or latino","Fail"
"761","311","MichiganStateUniversity","Communal",59,"19","First-year","Male","Other","Fail"
"762","312","MichiganStateUniversity","Communal",70,"21","Senior","Female","White, non-Hispanic or latino","Pass"
"763","313","MichiganStateUniversity","Agentic",73,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"764","314","MichiganStateUniversity","Agentic",60,"21","Sophomore","Male","Other","Pass"
"765","315","MichiganStateUniversity","Communal",72,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"767","317","MichiganStateUniversity","Communal",67,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"769","319","MichiganStateUniversity","Agentic",65,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"770","32","MichiganStateUniversity","Communal",62,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"771","33","MichiganStateUniversity","Agentic",75,"20","Junior","Female","White, non-Hispanic or latino","Pass"
"772","34","MichiganStateUniversity","Agentic",70,"19","Sophomore","Female","Latino or Hispanic","Pass"
"774","36","MichiganStateUniversity","Agentic",70,"19","Sophomore","Female","Asian-American","Fail"
"776","38","MichiganStateUniversity","Agentic",66,"19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"777","39","MichiganStateUniversity","Communal",75,NA,"Sophomore","Male","White, non-Hispanic or latino","Fail"
"778","4","MichiganStateUniversity","Communal",73,"20","Junior","Female","White, non-Hispanic or latino","Pass"
"779","40","MichiganStateUniversity","Agentic",68,"20","Junior","Female","Multiracial","Pass"
"780","41","MichiganStateUniversity","Agentic",70,"19","Junior","Female","White, non-Hispanic or latino","Pass"
"781","42","MichiganStateUniversity","Communal",72,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"782","43","MichiganStateUniversity","Communal",70,"22","Senior","Female","Other","Fail"
"784","45","MichiganStateUniversity","Agentic",70,"20","Junior","Male","Native Hawaiian and other Pacific Islander","Pass"
"785","46","MichiganStateUniversity","Agentic",67,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"787","48","MichiganStateUniversity","Communal",70,"19","First-year","Male","White, non-Hispanic or latino","Fail"
"788","49","MichiganStateUniversity","Agentic",70,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"789","5","MichiganStateUniversity","Agentic",69,"19","Junior","Male","Asian-American","Pass"
"790","50","MichiganStateUniversity","Agentic",72,"20","Junior","Female","White, non-Hispanic or latino","Fail"
"791","50268576","MichiganStateUniversity","Communal",72,"19","First-year","Female","Latino or Hispanic","Fail"
"792","51","MichiganStateUniversity","Communal",67,"21","Senior","Male","White, non-Hispanic or latino","Fail"
"793","52","MichiganStateUniversity","Communal",72,"19","Sophomore","Female","African-American","Pass"
"795","54","MichiganStateUniversity","Communal",70,"19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"796","55","MichiganStateUniversity","Communal",65,"19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"797","56","MichiganStateUniversity","Communal",70,"19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"798","57","MichiganStateUniversity","Agentic",68,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"799","58","MichiganStateUniversity","Agentic",70,"22 years","Senior","Female","White, non-Hispanic or latino","Fail"
"800","59","MichiganStateUniversity","Agentic",75,"21","Senior","Male","Other","Fail"
"802","60","MichiganStateUniversity","Communal",77,"20","Senior","Male","Latino or Hispanic","Pass"
"804","62","MichiganStateUniversity","Agentic",70,"21","Junior","Female","Other","Pass"
"806","64","MichiganStateUniversity","Communal",75,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"807","65","MichiganStateUniversity","Agentic",74,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"808","66","MichiganStateUniversity","Agentic",65,"21","Senior","Female","White, non-Hispanic or latino","Pass"
"809","67","MichiganStateUniversity","Agentic",70,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"810","68","MichiganStateUniversity","Agentic",78,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"811","69","MichiganStateUniversity","Communal",65,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"813","70","MichiganStateUniversity","Agentic",78,"20","Junior","Male","White, non-Hispanic or latino","Fail"
"814","71","MichiganStateUniversity","Agentic",77,"18","Sophomore","Female","Other","Fail"
"815","72","MichiganStateUniversity","Communal",74,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"816","73","MichiganStateUniversity","Communal",65,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"817","74","MichiganStateUniversity","Agentic",72,"19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"818","75","MichiganStateUniversity","Communal",70,"18","First-year","Male","African-American","Fail"
"819","76","MichiganStateUniversity","Agentic",70,"22","Senior","Female","African-American","Pass"
"820","77","MichiganStateUniversity","Agentic",70,"18","First-year","Female","African-American","Pass"
"821","78","MichiganStateUniversity","Agentic",74,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"822","79","MichiganStateUniversity","Agentic",72,"20","Junior","Female","White, non-Hispanic or latino","Pass"
"823","8","MichiganStateUniversity","Communal",62,"22","Junior","Female","White, non-Hispanic or latino","Fail"
"824","80","MichiganStateUniversity","Communal",68,"20","Junior","Female","White, non-Hispanic or latino","Pass"
"825","81","MichiganStateUniversity","Communal",68,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"826","82","MichiganStateUniversity","Agentic",72,"20","Junior","Female","White, non-Hispanic or latino","Pass"
"827","83","MichiganStateUniversity","Communal",70,"40","Senior","Male","White, non-Hispanic or latino","Pass"
"828","84","MichiganStateUniversity","Communal",68,"18","First-year",NA,"White, non-Hispanic or latino","Fail"
"829","85","MichiganStateUniversity","Agentic",60,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"830","86","MichiganStateUniversity","Communal",75,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"832","88","MichiganStateUniversity","Communal",72,"21","Senior","Female","Other","Pass"
"833","89","MichiganStateUniversity","Agentic",65,"18","First-year","Female",NA,"Fail"
"834","9","MichiganStateUniversity","Agentic",75,"19","Sophomore","Female","Other","Fail"
"835","90","MichiganStateUniversity","Communal",70,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"836","91","MichiganStateUniversity","Agentic",70,"20","Junior","Female","White, non-Hispanic or latino","Fail"
"837","92","MichiganStateUniversity","Agentic",70,"19","Sophomore",NA,"African-American","Fail"
"838","93","MichiganStateUniversity","Agentic",75,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"839","94","MichiganStateUniversity","Agentic",75,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"840","95","MichiganStateUniversity","Agentic",73,"21","Senior","Female","Other","Fail"
"841","96","MichiganStateUniversity","Communal",70,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"842","97","MichiganStateUniversity","Agentic",70,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"843","98","MichiganStateUniversity","Agentic",65,"20","Junior","Female","White, non-Hispanic or latino","Pass"
"845","A47964621","MichiganStateUniversity","Agentic",66,"19","Sophomore","Female","Multiracial","Fail"
"846",NA,"MichiganStateUniversity","Agentic",70,NA,NA,NA,NA,NA
"847",NA,"MichiganStateUniversity","Agentic",74,"22","Senior","Female","White, non-Hispanic or latino","Pass"
"848",NA,"MichiganStateUniversity","Agentic",68,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"849",NA,"MichiganStateUniversity","Communal",75,"19","Junior","Female","Multiracial","Pass"
"850",NA,"MichiganStateUniversity","Agentic",60,NA,NA,NA,NA,NA
"851",NA,"MichiganStateUniversity","Agentic",68,"32","Senior","Male","White, non-Hispanic or latino","Pass"
"852",NA,"MichiganStateUniversity","Agentic",75,NA,NA,NA,NA,NA
"853",NA,"MichiganStateUniversity","Communal",70,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"854",NA,"MichiganStateUniversity","Agentic",60,"20","Junior","Female","African-American","Pass"
"855",NA,"MichiganStateUniversity","Agentic",68,"20","Junior","Male","White, non-Hispanic or latino","Fail"
